Product,Issue,Company,State,ZIP code,Complaint ID
debt collection,attempts collect debt owed,ad astra recovery services inc,TX,77055,3236263
debt collection,attempts collect debt owed,diversified consultants inc,TX,78043,3236189
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,equifax inc,WA,983XX,3235513
credit reporting credit repair services personal consumer reports,incorrect information report,american honda finance corp,CA,90025,3236078
credit reporting credit repair services personal consumer reports,unable get credit report credit score,equifax inc,MI,48098,3235818
credit reporting credit repair services personal consumer reports,improper use report,equifax inc,OH,43123,3235573
credit reporting credit repair services personal consumer reports,credit monitoring identity theft protection services,equifax inc,FL,328XX,3235564
credit reporting credit repair services personal consumer reports,unable get credit report credit score,equifax inc,NY,11801,3235480
payday loan title loan personal loan,struggling pay loan,navy federal credit union,GA,30097,3236427
checking savings account,managing account,certegy holdings llc,GA,31794,3235835
mortgage,trouble payment process,bayview loan servicing llc,NY,14120,3235820
mortgage,struggling pay mortgage,primary residential mortgage,CA,92877,3236502
debt collection,attempts collect debt owed,millco management,PA,193XX,3235791
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,KY,40220,3235924
debt collection,attempts collect debt owed,illinois collection service inc,IL,60623,3236364
mortgage,applying mortgage refinancing existing mortgage,ally financial inc,CA,94565,3237406
payday loan title loan personal loan,charged fees interest expect,navy federal credit union,VA,23831,3236287
credit reporting credit repair services personal consumer reports,incorrect information report,byrider franchising llc,IL,604XX,3235991
debt collection,attempts collect debt owed,ad astra recovery services inc,TX,76712,3236213
credit reporting credit repair services personal consumer reports,improper use report,equifax inc,GA,302XX,3235494
